2017-12-24 12:11:15 DEBUG App:65 - Symbol=MRPL.NS, Volume=49.898293, Price=1.50
2017-12-24 12:11:15 DEBUG App:76 - Symbol=DRREDDY.NS, Volume=-58.399456, Price=-0.81
2017-12-24 12:11:15 DEBUG App:76 - Symbol=LUPIN.NS, Volume=-27.530369, Price=-0.82
2017-12-24 12:11:15 DEBUG App:76 - Symbol=ULTRACEMCO.NS, Volume=-54.00929, Price=-1.01
2017-12-24 12:11:15 DEBUG App:76 - Symbol=ACC.NS, Volume=-55.366463, Price=-0.99
2017-12-24 12:11:15 DEBUG App:76 - Symbol=CADILAHC.NS, Volume=-44.754726, Price=-0.68
2017-12-24 12:11:15 DEBUG App:76 - Symbol=EMAMILTD.NS, Volume=-66.68779, Price=-1.24
2017-12-24 12:11:15 DEBUG App:76 - Symbol=GSKCONS.NS, Volume=-68.30855, Price=-1.50
2017-12-24 12:11:15 DEBUG App:76 - Symbol=IDEA.NS, Volume=-46.76706, Price=-0.89
2017-12-24 12:11:15 DEBUG App:76 - Symbol=LICHSGFIN.NS, Volume=-29.967236, Price=-0.78
2017-12-24 12:11:15 DEBUG App:76 - Symbol=OFSS.NS, Volume=-25.17696, Price=-1.97
2017-12-24 12:11:15 DEBUG App:76 - Symbol=AJANTPHARM.NS, Volume=-40.72378, Price=-1.50
2017-12-24 12:11:15 DEBUG App:76 - Symbol=APOLLOHOSP.NS, Volume=-58.889114, Price=-1.24
2017-12-24 12:11:15 DEBUG App:76 - Symbol=ARVIND.NS, Volume=-34.374203, Price=-0.60
2017-12-24 12:11:15 DEBUG App:76 - Symbol=CASTROLIND.NS, Volume=-38.775818, Price=-0.72
2017-12-24 12:11:15 DEBUG App:76 - Symbol=L&TFH.NS, Volume=-30.142555, Price=-1.02
